time,num_instructions,location,block,condition,success
16.55529730000012,2,8,1,auditory,success
14.000239199999896,3,9,1,auditory,success
16.485247500000014,3,3,1,auditory,success
16.960552400000097,3,1,1,auditory,success
15.347258900000043,2,2,1,auditory,success
18.753257400000166,3,7,1,auditory,exFail
11.684664999999995,2,4,1,auditory,exFail
9.265802500000063,2,6,1,auditory,success
13.344394199999897,3,rep_7,1,auditory,success
9.89160979999997,2,rep_4,1,auditory,success
15.809881299999915,3,9,1,tactile,success
9.472629899999902,2,6,1,tactile,fail
8.151125899999897,2,1,1,tactile,fail
9.263606299999992,3,7,1,tactile,success
1.5221973000000162,1,3,1,tactile,success
6.256008700000166,2,4,1,tactile,success
4.462667499999952,2,8,1,tactile,exFail
7.389612600000191,2,2,1,tactile,success
4.69939619999991,2,rep_8,1,tactile,success
9.132214500000146,3,3,2,auditory,success
6.552295100000038,2,4,2,auditory,success
5.564376699999912,2,8,2,auditory,success
10.201558899999782,3,7,2,auditory,success
6.45727399999987,2,6,2,auditory,success
9.401066700000001,3,9,2,auditory,success
8.9190372999999,3,1,2,auditory,success
5.633055500000182,2,2,2,auditory,success
7.363006399999904,3,7,2,tactile,success
4.4852553999999145,2,8,2,tactile,success
7.308965899999976,2,3,2,tactile,success
9.423367599999892,3,9,2,tactile,success
7.987168299999894,2,6,2,tactile,success
5.379150699999855,2,4,2,tactile,success
8.904178100000081,3,1,2,tactile,success
6.481549200000018,2,2,2,tactile,success
8.15519949999998,3,7,3,auditory,success
5.522491200000104,2,2,3,auditory,success
7.0891200999999455,3,1,3,auditory,success
3.932482499999878,1,8,3,auditory,exFail
7.45384910000007,3,3,3,auditory,success
6.257472300000018,2,6,3,auditory,success
5.194979200000034,2,4,3,auditory,success
6.83586339999988,3,9,3,auditory,success
4.514020999999957,2,rep_8,3,auditory,success
5.3457456000001,2,4,3,tactile,success
10.245634099999961,3,9,3,tactile,success
5.965044899999839,3,6,3,tactile,exFail
8.257906700000149,3,7,3,tactile,success
9.352219000000105,3,3,3,tactile,success
5.188198600000078,2,8,3,tactile,success
8.198546599999872,3,1,3,tactile,success
5.924524099999871,2,2,3,tactile,success
5.63273449999997,2,rep_6,3,tactile,success
